aftA,4237932,4239863,Rv3792,forw
aftA_ups,4237832,4237931,-,forw
aftB,4268836,4266953,Rv3805c,rev
aftB_ups,4268964,4268837,-,rev
ahpC,2726193,2726780,Rv2428,forw
ahpC_ups,2726101,2726192,-,forw
atpE,1461045,1461290,Rv1305,forw
atpE_ups,1460995,1461044,-,forw
bacA,2064728,2062809,Rv1819c,rev
bacA_ups,2064808,2064729,-,rev
ccsA,619891,620865,Rv0529,forw
ccsA_ups,619701,619890,-,forw
clpC1,4040704,4038158,Rv3596c,rev
clpC1_ups,4040809,4040705,-,rev
ddn,3986844,3987299,Rv3547,forw
ddn_ups,3986794,3986843,-,forw
dnaA,1,1524,Rv0001,forw
dnaA_ups,4411220,4411532,-,forw
dprE1,4235779,4237164,Rv3790,forw
dprE1_ups,4235678,4235778,-,forw
eis,2715332,2714124,Rv2416c,rev
eis_ups,2715415,2715333,-,rev
embA,4243233,4246517,Rv3794,forw
embA_ups,4243148,4243232,-,forw
embB,4246514,4249810,Rv3795,forw
embB_ups,4246414,4246513,-,forw
embC,4239863,4243147,Rv3793,forw
embC_ups,4237882,4239862,-,forw
embR,1417347,1416181,Rv1267c,rev
embR_ups,1417449,1417348,-,rev
ethA,4327473,4326004,Rv3854c,rev
ethA_ups,4327523,4327474,-,rev
ethR,4327549,4328199,Rv3855,forw
ethR_ups,4327523,4327548,-,forw
fabG1,1673440,1674183,Rv1483,forw
fabG1_ups,1673340,1673439,-,forw
fbiA,3640543,3641538,Rv3261,forw
fbiA_ups,3640406,3640542,-,forw
fbiB,3641535,3642881,Rv3262,forw
fbiB_ups,3641435,3641534,-,forw
fbiC,1302931,1305501,Rv1173,forw
fbiC_ups,1302805,1302930,-,forw
fgd1,490783,491793,Rv0407,forw
fgd1_ups,490733,490782,-,forw
furA,2156592,2156149,Rv1909c,rev
furA_ups,2156692,2156593,-,rev
gid,4408202,4407528,Rv3919c,rev
gid_ups,4408280,4408203,-,rev
glpK,4139755,4138202,Rv3696c,rev
glpK_ups,4139806,4139756,-,rev
gyrA,7302,9818,Rv0006,forw
gyrA_ups,7267,7301,-,forw
gyrB,5240,7267,Rv0005,forw
gyrB_ups,5133,5239,-,forw
hadA,731930,732406,Rv0635,forw
hadA_ups,731880,731929,-,forw
inhA,1674202,1675011,Rv1484,forw
inhA_ups,1673390,1674201,-,forw
katG,2156111,2153889,Rv1908c,rev
katG_ups,2156642,2156112,-,rev
leuS,43562,46471,Rv0041,forw
leuS_ups,43461,43561,-,forw
lpqB,3624910,3623159,Rv3244c,rev
lpqB_ups,3625010,3624911,-,rev
mmpL5,778480,775586,Rv0676c,rev
mmpL5_ups,778580,778481,-,rev
mmpS5,778905,778477,Rv0677c,rev
mmpS5_ups,778989,778906,-,rev
mshA,575348,576790,Rv0486,forw
mshA_ups,574680,575347,-,forw
mtrA,3627349,3626663,Rv3246c,rev
mtrA_ups,3627724,3627350,-,rev
mtrB,3626613,3624910,Rv3245c,rev
mtrB_ups,3626662,3626614,-,rev
ndh,2103042,2101651,Rv1854c,rev
ndh_ups,2103137,2103043,-,rev
nusG,734254,734970,Rv0639,forw
nusG_ups,734054,734253,-,forw
panD,4044281,4043862,Rv3601c,rev
panD_ups,4046229,4046119,-,rev
pepQ,2860418,2859300,Rv2535c,rev
pepQ_ups,2860468,2860419,-,rev
pncA,2289241,2288681,Rv2043c,rev
pncA_ups,2289291,2289242,-,rev
PPE35,2170612,2167649,Rv1918c,rev
PPE35_ups,2170733,2170613,-,rev
rplC,800809,801462,Rv0701,forw
rplC_ups,800307,800486,-,forw
rpoA,3878507,3877464,Rv3457c,rev
rpoA_ups,3879042,3878508,-,rev
rpoB,759807,763325,Rv0667,forw
rpoB_ups,759545,759806,-,forw
rpoC,763370,767320,Rv0668,forw
rpoC_ups,763325,763369,-,forw
rpsA,1833542,1834987,Rv1630,forw
rpsA_ups,1833443,1833541,-,forw
rpsL,781560,781934,Rv0682,forw
rpsL_ups,781327,781559,-,forw
rrl,1473658,1476795,MTB000020,forw
rrl_ups,1473607,1473657,-,forw
rrs,1471846,1473382,MTB000019,forw
rrs_ups,1471696,1471845,-,forw
Rv0010c,13558,13133,Rv0010c,rev
Rv0010c_ups,13714,13559,-,rev
Rv0565c,657470,656010,Rv0565c,rev
Rv0565c_ups,657547,657471,-,rev
Rv0678,778990,779487,Rv0678,forw
Rv0678_ups,778890,778989,-,forw
Rv1129c,1254534,1253074,Rv1129c,rev
Rv1129c_ups,1254560,1254535,-,rev
Rv1258c,1407340,1406081,Rv1258c,rev
Rv1258c_ups,1407397,1407341,-,rev
Rv1979c,2223164,2221719,Rv1979c,rev
Rv1979c_ups,2223633,2223165,-,rev
Rv2477c,2784042,2782366,Rv2477c,rev
Rv2477c_ups,2784129,2784043,-,rev
Rv2680,2996105,2996737,Rv2680,forw
Rv2680_ups,2995953,2996104,-,forw
Rv2681,2996739,2998055,Rv2681,forw
Rv2681_ups,2996737,2996738,-,forw
Rv2752c,3066191,3064515,Rv2752c,rev
Rv2752c_ups,3067174,3067125,-,rev
Rv2983,3339118,3339762,Rv2983,forw
Rv2983_ups,3339068,3339117,-,forw
Rv3083,3448504,3449991,Rv3083,forw
Rv3083_ups,3448454,3448503,-,forw
Rv3236c,3613116,3611959,Rv3236c,rev
Rv3236c_ups,3613653,3613604,-,rev
sigE,1364413,1365186,Rv1221,forw
sigE_ups,1364363,1364412,-,forw
tlyA,1917940,1918746,Rv1694,forw
tlyA_ups,1917705,1917755,-,forw
tsnR,1853606,1854388,Rv1644,forw
tsnR_ups,1853556,1853605,-,forw
ubiA,4269833,4268925,Rv3806c,rev
